求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
試用・研修期間の通勤・皆勤・家族手当範囲（probationary_commuting_allowance_display_method_jp）	入力不可
試用・研修期間の通勤・皆勤・家族手当下限（probationary_lowest_commuting_allowance）	半角数字
試用・研修期間の通勤・皆勤・家族手当上限（probationary_limit_commuting_allowance）	半角数字
試用・研修期間のその他手当CD（probationary_others_allowance_type）	コード値
試用・研修期間のその他手当（probationary_others_allowance_type_jp）	入力不可
試用・研修期間のその他手当範囲CD（probationary_others_allowance_display_method）	コード値
試用・研修期間のその他手当範囲（probationary_others_allowance_display_method_jp）	入力不可
試用・研修期間のその他手当下限（probationary_lowest_others_allowance）	半角数字
試用・研修期間のその他手当上限（probationary_limit_others_allowance）	半角数字
試用・研修期間の勤務時間条件CD（probationary_salary_working_hours）	コード値
試用・研修期間の勤務時間条件（probationary_salary_working_hours_jp）	入力不可
試用・研修期間の勤務形態CD（probationary_working_style）	コード値
試用・研修期間の勤務形態（probationary_working_style_jp）	入力不可
試用・研修期間の勤務形態の種類CD（probationary_working_style_others）	コード値
試用・研修期間の勤務形態の種類（probationary_working_style_others_jp）	入力不可
試用・研修期間の労使協定の締結と届け出CD（probationary_is_label_management_agreement）	コード値
試用・研修期間の労使協定の締結と届け出（probationary_is_label_management_agreement_jp）	入力不可
試用・研修期間の勤務時間の記載方法CD（probationary_working_hours_display_method）	コード値
試用・研修期間の勤務時間の記載方法（probationary_working_hours_display_method_jp）	入力不可
試用・研修期間の労働時間の入力方法CD（probationary_working_hours_input_type）	コード値
試用・研修期間の労働時間の入力方法（probationary_working_hours_input_type_jp）	入力不可
試用・研修期間の労働時間_単位あたり値（probationary_total_working_hours_time）	半角数字
試用・研修期間の総労働時間_単位CD（probationary_total_working_hours_unit）	コード値
試用・研修期間の総労働時間_単位（probationary_total_working_hours_unit_jp）	入力不可
試用・研修期間の総労働時間_時（probationary_total_working_hours_hour）	半角数字
試用・研修期間の総労働時間_分（probationary_total_working_hours_minute）	半角数字
試用・研修期間の総労働時間_時_下限（probationary_minimum_total_working_hours_hour）	半角数字
試用・研修期間の総労働時間_分_下限（probationary_minimum_total_working_hours_minute）	半角数字
試用・研修期間の総労働時間_時_上限（probationary_maximum_total_working_hours_hour）	半角数字
試用・研修期間の総労働時間_分_上限（probationary_maximum_total_working_hours_minute）	半角数字
試用・研修期間の労働・みなし労働時間_時（probationary_working_hours_hour）	半角数字
試用・研修期間の実働・みなし労働時間_分（probationary_working_hours_minute）	半角数字
試用・研修期間の実働・みなし労働時間_時_下限（probationary_minimum_working_hours_hour）	半角数字
試用・研修期間の実働・みなし労働時間_分_下限（probationary_minimum_working_hours_minute）	半角数字
試用・研修期間の実働・みなし労働時間_時_上限（probationary_maximum_working_hours_hour）	半角数字
試用・研修期間の実働・みなし労働時間_分_上限（probationary_maximum_working_hours_minute）	半角数字
試用・研修期間の平均勤務日数範囲CD（probationary_average_working_days_display_method）	コード値
試用・研修期間の平均勤務日数範囲（probationary_average_working_days_display_method_jp）	入力不可
試用・研修期間の平均勤務日数下限（probationary_lowest_working_days）	半角数字
試用・研修期間の平均勤務日数上限（probationary_limit_working_days）	半角数字
試用・研修期間の補足説明（probationary_period_supplement）	テキスト
選考の流れID（selection_flow_id）	ID
選考の流れ（selection_flow_id_name）	入力不可
選考についての補足説明（selection_flow）	テキスト
面接地・登録地1番号（interview_registration_location_id_1）	コード値
面接地・登録地1名称（interview_registration_location_id_jp1）	入力不可
面接地・登録地2番号（interview_registration_location_id_2）	コード値
面接地・登録地2名称（interview_registration_location_id_jp2）	入力不可
面接地・登録地3番号（interview_registration_location_id_3）	コード値
面接地・登録地3名称（interview_registration_location_id_jp3）	入力不可
面接地・登録地4番号（interview_registration_location_id_4）	コード値
面接地・登録地4名称（interview_registration_location_id_jp4）	入力不可
面接地・登録地5番号（interview_registration_location_id_5）	コード値
面接地・登録地5名称（interview_registration_location_id_jp5）	入力不可
面接地・登録地6番号（interview_registration_location_id_6）	コード値
面接地・登録地6名称（interview_registration_location_id_jp6）	入力不可
面接地・登録地7番号（interview_registration_location_id_7）	コード値
面接地・登録地7名称（interview_registration_location_id_jp7）	入力不可
面接地・登録地8番号（interview_registration_location_id_8）	コード値
面接地・登録地8名称（interview_registration_location_id_jp8）	入力不可
面接地・登録地9番号（interview_registration_location_id_9）	コード値
面接地・登録地9名称（interview_registration_location_id_jp9）	入力不可
面接地・登録地10番号（interview_registration_location_id_10）	コード値
面接地・登録地10名称（interview_registration_location_id_jp10）	入力不可
問い合わせ メールアドレス（contact_email）	半角英数字
問い合わせ 電話番号（contact_phone）	半角数字
問い合わせ 担当者名（contact_name）	テキスト
応募時入力情報CD（entry_form_type）	コード値
応募時入力情報（entry_form_type_jp）	入力不可
自由質問1（free_q_1）	テキスト
自由質問2（free_q_2）	テキスト
自由質問3（free_q_3）	テキスト
求める人物像（スキル）ID（skill_id）	ID
求める人物像（スキル）（skill_id_name）	入力不可
求める人物像（経験）ID（description_id）	ID
求める人物像（経験）（description_id_name）	入力不可
求める人物像（資格）ID（license_id）	ID
求める人物像（資格）（license_id_name）	入力不可
求人メモ（job_offer_memo）	テキスト


 

2. コード値一覧（職種以外）
雇用形態CD（job_type）
コード値	コード名称
3	アルバイト・パート
4	正社員
5	契約社員
6	派遣社員
7	有料職業紹介要員
8	業務委託
有料職業紹介フラグCD（is_placement）
コード値	コード名称
1	有料職業紹介
0または
空白	有料職業紹介以外
勤務地種別CD（remote_flg）
コード値	コード名称
0	勤務地の指定をする
1	フルリモート（勤務地の指定をしない）
喫煙所CD（smoking_section_type）
コード値	コード名称
01	なし（敷地内すべて禁煙）
02	喫煙所あり（屋外）
03	喫煙所あり（屋内）
出向先CD（job_assignment_system）
コード値	コード名称
01	出向なし
02	出向あり
年齢の制限CD（age_limit）
コード値	コード名称
01	なし
02	あり
性別の制限CD（gender_restrictions）
コード値	コード名称
01	なし
02	男性限定
03	女性限定
04	女性歓迎
性別の制限事由CD（reason_of_gender_restrictions）※男性限定
コード値	コード名称
01	俳優モデル等、芸術芸能分野
02	守衛、警備員等防犯上
03	宗教上
04	風紀上
05	スポーツ競技
06	坑内業務
07	危険有害業務
08	風俗風習の相違
性別の制限事由CD（reason_of_gender_restrictions）※女性限定
コード値	コード名称
51	俳優モデル等、芸術芸能分野
52	守衛、警備員等防犯上
53	宗教上
54	風紀上
55	スポーツ競技
56	保健師、助産師、看護師の性質上
57	風俗風習の相違
58	ポジティブアクション
性別の制限事由CD（reason_of_gender_restrictions）※女性歓迎
コード値	コード名称
71	ポジティブアクション
給与形態CD（salary_form）
コード値	コード名称
01	時給
02	日給
03	週給
04	月給
05	年俸
06	業務単位
基本給範囲CD（salary_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
固定残業代CD（fixed_overtime_type）
コード値	コード名称
01	なし
02	あり（給与形態と同じ単位で支給）
03	あり（その他）
固定残業時間範囲CD（fixed_overtime_hours_display_method）
コード値	コード名称
01	範囲を指定する
02	固定指定する
固定残業代範囲CD（fixed_overtime_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
固定残業時間を超える残業代についてCD（is_pay_overtime）
コード値	コード名称
0	固定残業時間を超過した場合は追加で残業手当を支給しない
1	固定残業時間を超過した場合は追加で残業手当を支給する
支給しない時の理由CD（overtime_no_payment_reason）
コード値	コード名称
01	管理監督者のため
02	機密の事務を取り扱うため
03	監視断続の勤務のため
04	みなし労働時間制のため
05	農業・畜産・養蚕・水産の事業に従事するため
06	その他
通勤・皆勤・家族手当種別CD（commuting_allowance_type）
コード値	コード名称
01	なし
02	あり（給与形態と同じ単位で支給）
03	あり（その他）
通勤・皆勤・家族手当範囲CD（commuting_allowance_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
その他手当CD（others_allowance_type）
コード値	コード名称
01	なし
02	あり（給与形態と同じ単位で支給）
03	あり（その他）
その他手当範囲CD（others_allowance_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
勤務時間の記載方法CD（working_hours_display_method）
コード値	コード名称
01	総労働時間で記載
02	実働・みなし労働時間で記載
労働時間の入力方法CD（working_hours_display_method）
コード値	コード名称
01	範囲を指定する
02	固定指定する
総労働時間_単位CD（total_working_hours_unit）
コード値	コード名称
01	週
02	ヶ月
03	年
平均勤務日数範囲CD（average_working_days_display_method）
コード値	コード名称
01	範囲を指定する
02	固定指定する
勤務形態CD（working_style）
コード値	コード名称
01	固定時間制
02	シフト制
03	変形時間労働制
04	その他
勤務形態の種類CD（working_style_others）※アルバイト・パート以外
コード値	コード名称
01	フレックスタイム制
02	高度プロフェッショナル制度
03	専門業務型裁量労働制
04	企画業務型裁量労働制
05	事業場外みなし労働時間制
06	その他
勤務形態の種類CD（working_style_others）※アルバイト・パート
コード値	コード名称
01	フレックスタイム制
02	事業場外みなし労働時間制
03	その他
労使協定の締結と届け出CD（is_label_management_agreement）
コード値	コード名称
0	届け出ていない
1	届け出ている
健康保険CD（social_insurance_health）／厚生年金保険CD（social_insurance_wp）／雇用保険CD（social_insurance_ei）／労災保険CD（social_insurance_wc）
コード値	コード名称
0	なし
1	あり
試用・研修期間の有無CD（is_probationary_period）
コード値	コード名称
01	なし
02	あり
試用・研修期間の給与条件CD（probationary_salary）
コード値	コード名称
01	本採用時と同じ
02	本採用時と異なる
試用・研修期間の給与形態CD（probationary_salary_form）
コード値	コード名称
01	時給
02	日給
03	週給
04	月給
05	年俸
06	業務単位
試用・研修期間の基本給範囲CD（probationary_salary_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
試用・研修期間の固定残業CD（probationary_fixed_overtime_type）
コード値	コード名称
01	なし
02	あり（給与形態と同じ単位で支給）
03	あり（その他）
試用・研修期間の固定残業時間範囲CD（probationary_fixed_overtime_hours_display_method）
コード値	コード名称
01	範囲を指定する
02	固定指定する
試用・研修期間の固定残業代範囲CD（probationary_fixed_overtime_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
試用・研修期間の固定残業時間を超える残業についてCD（probationary_is_no_overtime）
コード値	コード名称
0	固定残業時間を超過した場合は追加で残業手当を支給しない
1	固定残業時間を超過した場合は追加で残業手当を支給する
試用・研修期間の支給しない時の理由CD（probationary_overtime_no_payment_reason）
コード値	コード名称
01	管理監督者のため
02	機密の事務を取り扱うため
03	監視断続の勤務のため
04	みなし労働時間制のため
05	農業・畜産・養蚕・水産の事業に従事するため
06	その他
試用・研修期間の通勤・皆勤・家族手当CD（probationary_commuting_allowance_type）
コード値	コード名称
01	なし
02	あり（給与形態と同じ単位で支給）
03	あり（その他）
試用・研修期間の通勤・皆勤・家族手当範囲CD（probationary_commuting_allowance_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
試用・研修期間のその他手当CD（probationary_others_allowance_type）
コード値	コード名称
01	なし
02	あり（給与形態と同じ単位で支給）
03	あり（その他）
試用・研修期間のその他手当範囲CD（probationary_others_allowance_display_method）
コード値	コード名称
01	範囲を指定する
02	下限を指定する
03	固定指定する
試用・研修期間の勤務時間条件CD（probationary_salary_working_hours）
コード値	コード名称
01	本採用時と同じ
02	本採用時と異なる
試用・研修期間の勤務時間の記載方法CD（probationary_working_hours_display_method）
